country,total_customers,cmp1_response,cmp2_response,cmp3_response,cmp4_response,cmp5_response,cmp6_response,cmps_response
SP,1054,76,15,80,87,86,170,306
SA,333,20,4,21,20,21,52,89
CA,263,18,6,17,24,21,38,70
AUS,158,6,0,9,6,12,22,31
IND,145,7,2,13,11,6,12,34
GER,120,7,2,10,11,8,17,34
US,109,7,0,8,6,5,13,28
